ID;Origem;Modal;Segmento
1898929;AutoCadastro;MOTORCYCLE;Desistiu
1463102;AutoCadastro;MOTORCYCLE;Fiel
101270;AutoCadastro;MOTORCYCLE;Fiel
2024012;EmpresaParceira;MOTORCYCLE;Fiel
2266761;AutoCadastro;BIKE;Novo
897093;AutoCadastro;MOTORCYCLE;Desistiu
963095;AutoCadastro;MOTORCYCLE;Desistiu
1487760;EmpresaParceira;MOTORCYCLE;Fiel
2735284;EmpresaParceira;CAR;Desistiu
1160571;AutoCadastro;MOTORCYCLE;Fiel
124;EmpresaParceira;BIKE;Novo
534015;EmpresaParceira;MOTORCYCLE;Fiel
209564;EmpresaParceira;MOTORCYCLE;Fiel
587354;AutoCadastro;BIKE;Novo
2666982;EmpresaParceira;MOTORCYCLE;Fiel
1151576;EmpresaParceira;MOTORCYCLE;Fiel
814284;EmpresaParceira;MOTORCYCLE;Fiel
1133990;EmpresaParceira;BIKE;Novo
2272179;AutoCadastro;MOTORCYCLE;Fiel
2278399;EmpresaParceira;MOTORCYCLE;Novo
7852;EmpresaParceira;BIKE;Novo
1506475;AutoCadastro;BIKE;Desistiu
156310;AutoCadastro;MOTORCYCLE;Fiel
1187;EmpresaParceira;BIKE;Novo
1066036;AutoCadastro;BIKE;Novo
4367920;EmpresaParceira;CAR;Desistiu
1082805;AutoCadastro;BIKE;Desistiu
1360;EmpresaParceira;CAR;Desistiu
3315779;EmpresaParceira;CAR;Desistiu
8913;EmpresaParceira;BIKE;Desistiu
4476643;EmpresaParceira;BIKE;Desistiu
8064;EmpresaParceira;BIKE;Novo
4550;EmpresaParceira;BIKE;Novo
1385732;AutoCadastro;BIKE;Novo
587892;AutoCadastro;BIKE;Desistiu
1514192;EmpresaParceira;MOTORCYCLE;Desistiu
486464;AutoCadastro;MOTORCYCLE;Fiel
1241494;AutoCadastro;MOTORCYCLE;Fiel
1638439;AutoCadastro;BIKE;Novo
1365626;AutoCadastro;BIKE;Desistiu
620849;AutoCadastro;MOTORCYCLE;Fiel
819292;AutoCadastro;MOTORCYCLE;Desistiu
469702;AutoCadastro;MOTORCYCLE;Fiel
1989079;AutoCadastro;BIKE;Novo
95056;EmpresaParceira;MOTORCYCLE;Fiel
9006293;EmpresaParceira;BIKE;Novo
3454;EmpresaParceira;CAR;Desistiu
1533898;EmpresaParceira;MOTORCYCLE;Fiel
636486;AutoCadastro;MOTORCYCLE;Fiel
1450042;EmpresaParceira;MOTORCYCLE;Fiel
1862065;AutoCadastro;MOTORCYCLE;Desistiu
177;EmpresaParceira;BIKE;Novo
2079511;EmpresaParceira;MOTORCYCLE;Novo
2221018;EmpresaParceira;MOTORCYCLE;Fiel
2529679;AutoCadastro;MOTORCYCLE;Novo
2904845;EmpresaParceira;MOTORCYCLE;Novo
1497599;AutoCadastro;BIKE;Novo
2006307;EmpresaParceira;MOTORCYCLE;Fiel
587262;AutoCadastro;MOTORCYCLE;Fiel
1742554;AutoCadastro;BIKE;Desistiu
802541;AutoCadastro;BIKE;Novo
1041876;AutoCadastro;BIKE;Desistiu
293850;AutoCadastro;MOTORCYCLE;Fiel
8000;EmpresaParceira;BIKE;Novo
1234606;EmpresaParceira;BIKE;Novo
2684056;EmpresaParceira;MOTORCYCLE;Fiel
1913682;EmpresaParceira;MOTORCYCLE;Fiel
4332;EmpresaParceira;BIKE;Novo
2326752;AutoCadastro;MOTORCYCLE;Desistiu
4497;EmpresaParceira;BIKE;Novo
2072526;EmpresaParceira;MOTORCYCLE;Fiel
2666641;EmpresaParceira;BIKE;Novo
1293896;AutoCadastro;MOTORCYCLE;Desistiu
1226794;AutoCadastro;MOTORCYCLE;Fiel
1884923;AutoCadastro;MOTORCYCLE;Fiel
8192;EmpresaParceira;BIKE;Novo
1293879;EmpresaParceira;MOTORCYCLE;Fiel
296238;AutoCadastro;MOTORCYCLE;Fiel
356652;AutoCadastro;MOTORCYCLE;Fiel
9904973;EmpresaParceira;BIKE;Novo
501631;EmpresaParceira;MOTORCYCLE;Fiel
1128548;AutoCadastro;MOTORCYCLE;Desistiu
728853;EmpresaParceira;MOTORCYCLE;Fiel
893231;AutoCadastro;BIKE;Novo
2009899;EmpresaParceira;BIKE;Desistiu
2828751;EmpresaParceira;CAR;Novo
448063;AutoCadastro;MOTORCYCLE;Fiel
2250016;EmpresaParceira;BIKE;Novo
2006698;EmpresaParceira;CAR;Desistiu
528272;AutoCadastro;BIKE;Desistiu
659003;EmpresaParceira;MOTORCYCLE;Desistiu
817012;AutoCadastro;BIKE;Novo
2230951;AutoCadastro;MOTORCYCLE;Novo
4673101;EmpresaParceira;CAR;Desistiu
7468;EmpresaParceira;CAR;Desistiu
700514;EmpresaParceira;MOTORCYCLE;Fiel
112914;AutoCadastro;MOTORCYCLE;Desistiu
571464;AutoCadastro;MOTORCYCLE;Fiel
2027105;EmpresaParceira;MOTORCYCLE;Fiel
1304734;EmpresaParceira;CAR;Desistiu
2437808;AutoCadastro;MOTORCYCLE;Fiel
1149393;EmpresaParceira;BIKE;Novo
37457;AutoCadastro;MOTORCYCLE;Fiel
2449748;AutoCadastro;MOTORCYCLE;Desistiu
345989;AutoCadastro;BIKE;Novo
906700;AutoCadastro;BIKE;Desistiu
2411351;AutoCadastro;MOTORCYCLE;Novo
1863543;AutoCadastro;BIKE;Novo
2632163;EmpresaParceira;MOTORCYCLE;Fiel
